Battle_of_Bataan
Battle_of_Singapore
Battle_of_Sarimbun_Beach
Battle_of_Pasir_Panjang
Battle_of_the_Java_Sea
Battle_of_Corregidor
Doolittle_Raid
Battle_of_Bir_Hakeim
First_Battle_of_El_Alamein
Second_Battle_of_El_Alamein
Battle_of_Savo_Island
Battle_of_Stalingrad
Battle_of_the_Bismarck_Sea
Battle_of_Cape_Esperance
Battle_of_the_Santa_Cruz_Islands
Operation_Torch
Second_Battle_of_Kharkov
Battle_of_Madagascar
