Battle_of_Monte_Cassino
Battle_of_Monte_Castello
Battle_of_Cisterna
Battle_of_Kwajalein
Battle_of_Eniwetok
Battle_of_Imphal
Operation_Ichi-Go
Operation_Overlord
Battle_of_Saipan
Battle_of_Guam_(1944)
Battle_of_Tinian
Operation_Bagration
Battle_of_Tali-Ihantala
Battle_of_Debrecen
Battle_of_Arnhem
Battle_of_Peleliu
Battle_of_Aachen
Battle_of_the_Scheldt
Battle_of_Angaur
Battle_of_Leyte
Battle_of_Leyte_Gulf
Battle_of_Mindoro
Battle_of_the_Bulge
