Battle_of_the_Lys_(1918)
Third_Battle_of_the_Aisne
Battle_of_Belleau_Wood
Battle_of_the_Piave_River
Second_Battle_of_the_Marne
Battle_of_Soissons_(1918)
Battle_of_Amiens_(1918)
Battle_of_Ambos_Nogales
Battle_of_Saint-Mihiel
Battle_of_Megiddo_(1918)
Meuse-Argonne_Offensive
Battle_of_the_Canal_du_Nord
Battle_of_St._Quentin_Canal
Battle_of_Cambrai_(1918)
Battle_of_the_Selle
Battle_of_Vittorio_Veneto
Battle_of_Sharqat
Battle_of_the_Sambre_(1918)
