Battle_of_Verdun
Battle_of_Jutland
Battle_of_the_Somme
Battle_of_Bazentin_Ridge
Battle_of_Delville_Wood
Battle_of_Fromelles
Battle_of_Romani
Battle_of_Magdhaba
