Battle_of_Neuve_Chapelle
Second_Battle_of_Ypres
Landing_at_Cape_Helles
Second_Battle_of_Krithia
Battle_of_Festubert
Battle_of_Sari_Bair
Battle_of_Hill_60_(Gallipoli)
Langemark_German_war_cemetery
Belgium
Battle_of_Loos
Second_Battle_of_Champagne
Battle_of_Es_Sinn
Battle_of_Ctesiphon_(1915)
Siege_of_Kut
