Raid_at_Cabanatuan
Prague_Offensive
Operation_Spring_Awakening
Battle_of_Manila_(1945)
Battle_of_Luzon
Battle_of_Mindanao
Operation_Varsity
Battle_of_Meiktila_and_Mandalay
Battle_of_Iwo_Jima
Battle_of_Halbe
Battle_of_Berlin
Battle_of_Tarakan_(1945)
Battle_of_Okinawa
Battle_of_North_Borneo
Battle_of_Balikpapan_(1945)
