Battle_of_Mulhouse
Battle_of_Charleroi
Battle_of_Mons
Battle_of_Tannenberg
Battle_of_Le_Cateau
Battle_of_St._Quentin_(1914)
First_Battle_of_the_Marne
First_Battle_of_the_Masurian_Lakes
First_Battle_of_the_Aisne
Battle_of_the_Yser
First_Battle_of_Ypres
Battle_of_the_Falkland_Islands
