Fall_of_Baghdad_(1917)
First_Battle_of_Gaza
Battle_of_Arras_(1917)
Battle_of_Doiran_(1917)
Battle_of_Messines_(1917)
Battle_of_Passchendaele
Battle_of_Caporetto
Third_Battle_of_Gaza
Battle_of_Beersheba_(1917)
Battle_of_Mughar_Ridge
Battle_of_Cambrai_(1917)
