Third_Battle_of_Kharkov
Battle_of_the_Kasserine_Pass
Battle_of_Attu
Battle_of_Kursk
Allied_invasion_of_Sicily
Allied_invasion_of_Italy
Battle_of_Kiev_(1943)
Battle_of_Tarawa
Bernhardt_Line
