Battle_of_the_Atlantic
Battles_of_Narvik
Namsos_Campaign
Invasion_of_Iceland
Battle_of_Belgium
Battle_of_Dunkirk
Battle_of_Arras_(1940)
Battle_of_Boulogne_(1940)
Battle_of_Dakar
Battle_of_Pindus
Battle_of_Taranto
Hundred_Regiments_Offensive
